co_code|Prowess company code|Code
company_name|Prowess company name|Text
co_stkdate|Company Trading Date|Date
bse_closing_price|BSE closing price|Indian Rupee
bse_traded_qty|BSE traded quantity|Nos.
bse_avg_rate|BSE weighted average price|Indian Rupee
bse_market_cap|BSE market capitalisation|Rs. Million
nse_opening_price|NSE opening price|Indian Rupee
nse_high_price|NSE high price|Indian Rupee
nse_low_price|NSE low price|Indian Rupee
nse_closing_price|NSE closing price|Indian Rupee
nse_returns|NSE returns|Times
nse_traded_qty|NSE traded quantity|Nos.
nse_traded_val|NSE turnover|Rs. Million
nse_avg_rate|NSE weighted average price|Indian Rupee
nse_market_cap|NSE market capitalisation|Rs. Million
nse_pe|NSE P/E|Times
nse_pb|NSE P/B|Times
nse_bv_per_share|NSE BV per Share|Indian Rupee
equity_shares_on_stkdate|Shares outstanding|Nos.
