KZ Index,sa_finance1_cocode,sa_company_name,Ownership,NSE symbol
0.587020254,11,20 MICRONS LTD.,Private (Indian),20MICRONS
-5.101257754,3335,A V T NATURAL PRODUCTS LTD.,A.V. Thomas Group,AVTNPL
0.910862691,3990,AARTI DRUGS LTD.,Alchemie Group,AARTIDRUGS
0.313904369,3998,AARTI INDUSTRIES LTD.,Alchemie Group,AARTIIND
-0.161503078,4671,RADICO KHAITAN LTD.,Radico (Gajanan Khaitan) Group,RADICO
-0.521415402,4709,TRIDENT LTD.,Trident Group,TRIDENT
-2.832510892,5747,ADANI ENTERPRISES LTD.,Adani Group,ADANIENT
-0.906862033,6819,ADVANCED ENZYME TECHNOLOGIES LTD.,Private (Indian),ADVENZYMES
-2.1691998,6916,ADVANI HOTELS & RESORTS (INDIA) LTD.,Advani Hotels (Ramada) Group,ADVANIHOTR
-0.282826867,7068,AEGIS LOGISTICS LTD.,Private (Foreign),AEGISCHEM
-1.723900641,8312,AHLUWALIA CONTRACTS (INDIA) LTD.,Private (Indian),AHLUCONT
-0.781342589,9793,AKSH OPTIFIBRE LTD.,Private (Indian),AKSHOPTFBR
-0.722991401,10872,ALKALI METALS LTD.,Private (Indian),ALKALI
-4.665574483,10884,ALKEM LABORATORIES LTD.,Private (Indian),ALKEM
-0.343733892,10903,ALKYL AMINES CHEMICALS LTD.,Alkyl Amines Group,ALKYLAMINE
-5.387731085,11063,ALLCARGO LOGISTICS LTD.,Private (Indian),ALLCARGO
-3.834988007,11853,ALPHAGEO (INDIA) LTD.,Private (Indian),ALPHAGEO
0.697088149,12577,AMARJOTHI SPINNING MILLS LTD.,Private (Indian),AMARJOTHI
-1.355549521,14464,VIPUL LTD.,Private (Indian),VIPULLTD
-1.398594752,15303,ANDHRA SUGARS LTD.,Andhra Sugar Group,ANDHRSUGAR
-0.332807469,15321,ANDREW YULE & CO. LTD.,Central Government - Takenover Enterprises,ANDREWYULE
1.071978519,16635,SHIVA TEXYARN LTD.,Bannari Amman Group,SHIVATEX
-2.850189833,17728,APAR INDUSTRIES LTD.,Apar Group,APARINDS
-6.24043832,17809,APCOTEX INDUSTRIES LTD.,Asian Paints Group,APCOTEXIND
0.975113789,18102,APOLLO HOSPITALS ENTERPRISE LTD.,Apollo Hospitals Group,APOLLOHOSP
-0.156703492,18151,APOLLO TYRES LTD.,Raunaq Singh Group,APOLLOTYRE
-23.77102373,19915,ARMAN FINANCIAL SERVICES LTD.,Private (Indian),ARMANFIN
0.071343918,21042,ARVIND LTD.,Lalbhai Group,ARVIND
1.32964561,21283,ASAHI INDIA GLASS LTD.,Private (Indian),ASAHIINDIA
-0.556370618,21290,ASAHI SONGWON COLORS LTD.,Private (Indian),ASAHISONG
-3.935009358,21663,ASHIANA HOUSING LTD.,Private (Indian),ASHIANA
-6.84770484,22104,ASHOK LEYLAND LTD.,Hinduja (Ashok Leyland) Group,ASHOKLEY
-11.9094678,22859,ASIAN PAINTS LTD.,Asian Paints Group,ASIANPAINT
-1.432789927,23150,ASPINWALL & CO. LTD.,Aspinwall Group,ASPINWALL
-0.413527899,23320,ASSOCIATED ALCOHOLS & BREWERIES LTD.,Private (Indian),ASALCBR
0.717919225,23482,A S I INDUSTRIES LTD.,Private (Indian),ASOCSTONE
-1.782615716,23668,ASTRA MICROWAVE PRODUCTS LTD.,Private (Indian),ASTRAMICRO
1.51917495,23696,ASTRAL POLY TECHNIK LTD.,Private (Indian),ASTRAL
0.400482896,27798,B S L LTD.,LNJ Bhilwara Group,BSL
-4.376665137,28920,BAJAJ ELECTRICALS LTD.,Bajaj Group,BAJAJELEC
-0.117716114,28981,FORCE MOTORS LTD.,Firodia Group,FORCEMOT
-0.546974481,29203,BAL PHARMA LTD.,Private (Indian),BALPHARMA
-0.739351163,29258,BALAJI AMINES LTD.,Private (Indian),BALAMINES
-1.70164679,29657,BALKRISHNA INDUSTRIES LTD.,Siyaram Poddar Group,BALKRISIND
-11.3172288,29703,BALMER LAWRIE & CO. LTD.,Central Govt. - Commercial Enterprises,BALMLAWRIE
-1.198153875,29728,BALRAMPUR CHINI MILLS LTD.,Private (Indian),BALRAMCHIN
1.030545887,30228,BANNARI AMMAN SPG. MILLS LTD.,Bannari Amman Group,BASML
0.328884223,30230,BANNARI AMMAN SUGARS LTD.,Bannari Amman Group,BANARISUG
0.848777962,30442,BANSWARA SYNTEX LTD.,Banswara Group,BANSWRAS
0.570797002,33477,BHANDARI HOSIERY EXPORTS LTD.,Private (Indian),BHANDARI
-14.17315095,33721,BHARAT DYNAMICS LTD.,Central Govt. - Commercial Enterprises,BDL
-13.5938978,33727,BHARAT ELECTRONICS LTD.,Central Govt. - Commercial Enterprises,BEL
-2.937721524,33750,BHARAT FORGE LTD.,Kalyani (Bharat Forge) Group,BHARATFORG
-9.194095108,33769,BHARAT HEAVY ELECTRICALS LTD.,Central Govt. - Commercial Enterprises,BHEL
