co_code,company_name,date,bse_closing_price,bse_traded_qty,bse_avg_rate,bse_market_cap,nse_opening_price,nse_high_price,nse_low_price,nse_closing_price,nse_returns,nse_traded_qty,nse_traded_val,nse_avg_rate,nse_market_cap,nse_pe,nse_pb,nse_bv_per_share,equity_shares_on_stkdate,KZ Index,Ownership,Quartile
192422,RAM RATNA WIRES LTD.,2019-03-01,96.9,5162.0,97.05,2131.8,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-05,107.6,18902.0,102.34,2367.2,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-06,102.35,15058.0,105.47,2251.7,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-07,102.9,11899.0,102.22,2263.8,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-08,104.0,360.0,104.43,2288.0,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-11,105.5,2747.0,106.08,2321.0,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-12,106.45,2833.0,106.22,2341.9,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-13,106.8,1731.0,106.79,2349.6,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-14,107.1,2630.0,106.53,2356.2,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-15,105.5,2785.0,106.29,2321.0,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-18,105.95,1320.0,105.73,2330.9,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-19,104.75,675.0,105.4,2304.5,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-20,105.5,641.0,105.21,2321.0,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-22,103.1,1720.0,103.54,2268.2,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-25,100.4,8199.0,100.54,2208.8,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-26,95.9,4787.0,98.01,2109.8,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
192422,RAM RATNA WIRES LTD.,2019-03-27,96.05,2448.0,96.77,2113.1,,,,,,,,,,,,,22000000.0,-0.33517053127281293,Ram Ratna Group,3
