Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Group,Quartile
01-01-2020,20MICRONS,35.2,36.0,36.8,35.25,35.65,35.8,35.96,N,4.0
02-01-2020,20MICRONS,35.8,36.0,36.2,35.1,35.8,35.55,35.51,N,4.0
03-01-2020,20MICRONS,35.55,35.85,35.85,34.95,35.2,35.05,35.32,N,4.0
06-01-2020,20MICRONS,35.05,35.5,35.5,32.2,34.1,32.8,33.33,N,4.0
07-01-2020,20MICRONS,32.8,32.35,34.8,32.35,33.3,33.2,33.73,N,4.0
08-01-2020,20MICRONS,33.2,33.0,33.4,32.3,32.75,32.7,32.69,N,4.0
09-01-2020,20MICRONS,32.7,33.2,34.0,33.1,33.7,33.4,33.62,N,4.0
10-01-2020,20MICRONS,33.4,33.45,34.9,33.45,34.25,34.3,34.25,N,4.0
13-01-2020,20MICRONS,34.3,34.9,36.9,33.3,35.85,35.9,35.63,N,4.0
14-01-2020,20MICRONS,35.9,35.85,36.9,35.2,36.5,36.05,36.2,N,4.0
15-01-2020,20MICRONS,36.05,36.8,36.8,35.5,36.2,36.05,36.2,N,4.0
16-01-2020,20MICRONS,36.05,35.3,36.5,34.5,35.6,35.55,35.72,N,4.0
17-01-2020,20MICRONS,35.55,36.25,36.25,34.8,35.0,35.05,35.35,N,4.0
20-01-2020,20MICRONS,35.05,34.75,36.0,34.2,34.25,34.35,34.94,N,4.0
21-01-2020,20MICRONS,34.35,34.35,35.5,33.3,34.3,34.25,34.41,N,4.0
22-01-2020,20MICRONS,34.25,35.15,35.35,33.35,33.4,33.5,33.79,N,4.0
23-01-2020,20MICRONS,33.5,33.85,34.2,33.4,33.7,33.7,33.7,N,4.0
24-01-2020,20MICRONS,33.7,33.45,38.0,33.45,36.8,36.5,36.63,N,4.0
27-01-2020,20MICRONS,36.5,37.65,37.65,36.0,36.0,36.15,36.53,N,4.0
28-01-2020,20MICRONS,36.15,36.55,36.95,35.15,36.5,36.0,36.24,N,4.0
29-01-2020,20MICRONS,36.0,36.0,36.3,35.0,35.4,35.15,35.56,N,4.0
30-01-2020,20MICRONS,35.15,35.6,36.0,34.1,35.0,34.7,35.12,N,4.0
31-01-2020,20MICRONS,34.7,35.0,35.85,34.7,35.0,34.9,35.15,N,4.0
01-02-2020,20MICRONS,34.9,35.15,35.4,33.5,33.5,33.75,34.2,N,4.0
03-02-2020,20MICRONS,33.75,34.5,34.85,33.5,34.15,34.45,34.43,N,4.0
04-02-2020,20MICRONS,34.45,34.7,35.5,34.0,34.8,34.8,34.84,N,4.0
05-02-2020,20MICRONS,34.8,35.2,35.2,34.2,35.0,34.9,34.75,N,4.0
06-02-2020,20MICRONS,34.9,34.35,35.75,33.5,34.35,34.3,34.81,N,4.0
07-02-2020,20MICRONS,34.3,34.95,35.0,33.55,34.1,34.15,34.2,N,4.0
10-02-2020,20MICRONS,34.15,34.45,35.75,33.75,34.0,33.85,34.21,N,4.0
11-02-2020,20MICRONS,33.85,34.3,35.25,33.15,34.0,34.05,34.16,N,4.0
12-02-2020,20MICRONS,34.05,33.3,35.7,33.3,34.25,34.5,34.74,N,4.0
13-02-2020,20MICRONS,34.5,35.2,35.75,34.55,35.2,35.35,35.24,N,4.0
